case_id,letter,condition,is_rag,comment,completeness,preference_raw,rag_preference_score
gen-001,A,rag,True,,5.0,A,1.0
gen-001,B,no_rag,False,,1.0,A,1.0
gen-002,A,no_rag,False,,4.0,A_slight,-0.5
gen-002,B,rag,True,,3.0,A_slight,-0.5
gen-003,A,no_rag,False,,3.0,B_slight,0.5
gen-003,B,rag,True,,3.0,B_slight,0.5
gen-004,A,no_rag,False,,4.0,A,-1.0
gen-004,B,rag,True,,2.0,A,-1.0
gen-005,A,rag,True,,3.0,B_slight,-0.5
gen-005,B,no_rag,False,,4.0,B_slight,-0.5
gen-006,A,rag,True,,4.0,equal,0.0
gen-006,B,no_rag,False,,4.0,equal,0.0
gen-007,A,rag,True,,5.0,A,1.0
gen-007,B,no_rag,False,,2.0,A,1.0
gen-008,A,no_rag,False,,5.0,A,-1.0
gen-008,B,rag,True,,2.0,A,-1.0
gen-009,A,no_rag,False,,5.0,equal,-0.0
gen-009,B,rag,True,,5.0,equal,-0.0
gen-010,A,no_rag,False,,4.0,B_slight,0.5
gen-010,B,rag,True,,5.0,B_slight,0.5
gen-011,A,no_rag,False,,4.0,equal,-0.0
gen-011,B,rag,True,,4.0,equal,-0.0
gen-012,A,rag,True,,5.0,equal,0.0
gen-012,B,no_rag,False,,5.0,equal,0.0
gen-013,A,no_rag,False,,5.0,A,-1.0
gen-013,B,rag,True,,4.0,A,-1.0
gen-014,A,no_rag,False,,5.0,equal,-0.0
gen-014,B,rag,True,,5.0,equal,-0.0
gen-015,A,rag,True,,3.0,equal,0.0
gen-015,B,no_rag,False,,2.0,equal,0.0
gen-016,A,rag,True,,3.0,B,-1.0
gen-016,B,no_rag,False,,5.0,B,-1.0
gen-017,A,no_rag,False,,3.0,B,1.0
gen-017,B,rag,True,,4.0,B,1.0
gen-018,A,rag,True,,3.0,B,-1.0
gen-018,B,no_rag,False,,5.0,B,-1.0
gen-019,A,rag,True,,5.0,equal,0.0
gen-019,B,no_rag,False,,5.0,equal,0.0
gen-020,A,no_rag,False,,4.0,A,-1.0
gen-020,B,rag,True,,2.0,A,-1.0
gen-021,A,rag,True,,4.0,equal,0.0
gen-021,B,no_rag,False,,4.0,equal,0.0
gen-022,A,rag,True,,5.0,B_slight,-0.5
gen-022,B,no_rag,False,,5.0,B_slight,-0.5
gen-023,A,no_rag,False,,5.0,equal,-0.0
gen-023,B,rag,True,,5.0,equal,-0.0
gen-024,A,no_rag,False,,5.0,A_slight,-0.5
gen-024,B,rag,True,,5.0,A_slight,-0.5
gen-025,A,rag,True,,5.0,A,1.0
gen-025,B,no_rag,False,,3.0,A,1.0
gen-026,A,no_rag,False,,3.0,equal,-0.0
gen-026,B,rag,True,,3.0,equal,-0.0
gen-027,A,no_rag,False,,4.0,B,1.0
gen-027,B,rag,True,,5.0,B,1.0
gen-028,A,no_rag,False,,,A_slight,-0.5
gen-028,B,rag,True,,,A_slight,-0.5
gen-029,A,rag,True,,5.0,A_slight,0.5
gen-029,B,no_rag,False,,5.0,A_slight,0.5
gen-030,A,rag,True,,5.0,A_slight,0.5
gen-030,B,no_rag,False,,5.0,A_slight,0.5
