Case Number,Prompt,Differential 1,Probability 1 (%),Differential 2,Probability 2 (%),Differential 3,Probability 3 (%)
1,"Symmetric MCP/PIP inflammatory arthritis, RF+, anti-CCP+, elevated ESR","Rheumatoid arthritis",85,"Psoriatic arthritis",10,"Systemic lupus erythematosus",5
2,"Progressive wrist and forefoot pain, anti-CCP strongly positive, early erosions","Rheumatoid arthritis",90,"Secondary Sjogren syndrome",5,"Psoriatic arthritis",5
3,"Photosensitive rash, oral ulcers, anti-dsDNA positive, low complement, proteinuria","Systemic lupus erythematosus",92,"Mixed connective tissue disease",5,"Drug-induced lupus",3
4,"Pleuritic chest pain, malar rash, cytopenia, nephritis, low complement","Systemic lupus erythematosus",90,"Antiphospholipid syndrome",6,"Mixed connective tissue disease",4
5,"Acute red swollen first MTP, negatively birefringent needle-shaped crystals","Gout",95,"Septic arthritis",3,"Calcium pyrophosphate deposition disease",2
6,"Recurrent monoarthritis with monosodium urate crystals and erosions","Gout",93,"Septic arthritis",4,"Calcium pyrophosphate deposition disease",3
7,"DIP arthritis with psoriasis and nail pitting","Psoriatic arthritis",90,"Osteoarthritis",7,"Rheumatoid arthritis",3
8,"Inflammatory back pain, HLA-B27 positive, MRI sacroiliitis","Ankylosing spondylitis",88,"Axial spondyloarthritis",8,"Reactive arthritis",4
9,"Older adult with proximal stiffness, elevated ESR/CRP, steroid responsive","Polymyalgia rheumatica",85,"Late-onset rheumatoid arthritis",10,"Hypothyroidism",5
10,"Acute symmetric small-joint swelling after viral illness","Post-viral inflammatory arthritis",70,"Early rheumatoid arthritis",20,"Parvovirus B19 arthritis",10
11,"Diffuse pain and fatigue, normal labs, no synovitis","Fibromyalgia",85,"Hypothyroidism",10,"Early inflammatory arthritis",5
12,"Knee pain worse with stairs, osteophytes on imaging, normal inflammatory markers","Osteoarthritis",90,"Meniscal degeneration",7,"Patellofemoral pain syndrome",3
13,"Acute swollen knee with positively birefringent rhomboid crystals","Calcium pyrophosphate deposition disease",92,"Septic arthritis",5,"Gout",3
14,"Low back pain worse with flexion, improves with rest, degenerative imaging","Mechanical back pain",90,"Lumbar spinal stenosis",7,"Sacroiliac dysfunction",3
15,"Shoulder pain with positive impingement signs, normal ESR/CRP","Rotator cuff tendinopathy",85,"Adhesive capsulitis",10,"Polymyalgia rheumatica",5
16,"ANA positive, antihistone positive, normal complement, no nephritis","Drug-induced lupus",90,"Systemic lupus erythematosus",7,"Viral exanthem with arthralgias",3
17,"Asymmetric oligoarthritis and enthesitis after diarrhea","Reactive arthritis",85,"Psoriatic arthritis",10,"Ankylosing spondylitis",5
18,"Episodic wrist swelling with sicca symptoms, negative SSA/SSB","Early seronegative rheumatoid arthritis",45,"Sjogren syndrome",35,"Fibromyalgia",20
