model_key,case_id,gold_label,category,ontology_support_level,is_none_case,k,precision_at_k,rank_first_relevant,frac_why_rich,retrieved_chunks
minilm,gen-001,http://purl.bioontology.org/ontology/AIR/DXRA,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.6732, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-002,http://purl.bioontology.org/ontology/AIR/DXRA,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.5312, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-003,http://purl.bioontology.org/ontology/AIR/DXRA,early,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6358, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-004,http://purl.bioontology.org/ontology/AIR/DXSLE,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.5768, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-005,http://purl.bioontology.org/ontology/AIR/DXSLE,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5376, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-006,http://purl.bioontology.org/ontology/AIR/DXSLE,early,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Raynaud's phenomenon (by history or observed)"", ""score"": 0.5649, ""linked_dx_codes"": [""DXRA"", ""DXSLE""], ""has_why"": true}]"
minilm,gen-007,http://purl.bioontology.org/ontology/AIR/DXGT,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5229, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-008,http://purl.bioontology.org/ontology/AIR/DXGT,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Gout"", ""score"": 0.5518, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-009,http://purl.bioontology.org/ontology/AIR/DXGT,early,rich,False,1,0.0,,0.0,"[{""label"": ""Gout"", ""score"": 0.5589, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-010,http://purl.bioontology.org/ontology/AIR/DXPSO,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.6984, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-011,http://purl.bioontology.org/ontology/AIR/DXPSO,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.7098, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-012,http://purl.bioontology.org/ontology/AIR/DXPSO,early,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6075, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-013,http://purl.bioontology.org/ontology/AIR/DXANK,classic,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.6347, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
minilm,gen-014,http://purl.bioontology.org/ontology/AIR/DXANK,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.5869, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-015,http://purl.bioontology.org/ontology/AIR/DXANK,early,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Chronic uveitis or iridocyclitis"", ""score"": 0.62, ""linked_dx_codes"": [""DXANK"", ""DXRA""], ""has_why"": true}]"
minilm,gen-016,http://purl.bioontology.org/ontology/AIR/DXPMR,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.6126, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-017,http://purl.bioontology.org/ontology/AIR/DXPMR,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.6351, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-018,http://purl.bioontology.org/ontology/AIR/DXPMR,early,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5992, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-019,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5286, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-020,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5402, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-021,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5465, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-022,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.5925, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-023,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.5674, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-024,NONE,none,none,True,1,,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5913, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-025,NONE,none,none,True,1,,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.6065, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-026,NONE,none,none,True,1,,,1.0,"[{""label"": ""Lyme arthritis"", ""score"": 0.5281, ""linked_dx_codes"": [""DXRA""], ""has_why"": true}]"
minilm,gen-027,NONE,none,none,True,1,,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6921, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-028,http://purl.bioontology.org/ontology/AIR/DXRA|http://purl.bioontology.org/ontology/AIR/DXPSO,ambiguous,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.6649, ""linked_dx_codes"": [], ""has_why"": false}]"
minilm,gen-029,http://purl.bioontology.org/ontology/AIR/DXPMR|http://purl.bioontology.org/ontology/AIR/DXRA,ambiguous,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Pain with restricted abduction and/or rotation"", ""score"": 0.5961, ""linked_dx_codes"": [""DXPMR""], ""has_why"": true}]"
minilm,gen-030,http://purl.bioontology.org/ontology/AIR/DXPMR|NONE,ambiguous,rich,False,1,0.0,,0.0,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.6785, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-001,http://purl.bioontology.org/ontology/AIR/DXRA,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.7288, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-002,http://purl.bioontology.org/ontology/AIR/DXRA,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6802, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-003,http://purl.bioontology.org/ontology/AIR/DXRA,early,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6992, ""linked_dx_codes"": [], ""has_why"": false}]"
