case_id,model_key,model_name,rag_context,top_k,retrieved_chunks
gen-001,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Polymyalgia Rheumatica (relevance: 0.673)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion
  - Morning st…

[2] Rheumatoid Arthritis (relevance: 0.627)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[3] Psoriatic Arthritis (relevance: 0.555)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …

[4] Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion (relevance: 0.536)
    Body system: Spine complaint
    Diagnostic relevance: It is a typical complaint of ankylosing spondylitis or other inflammatory diseases of the spine.
    Assessment: Assessed by history. Ask if the patient ever wakes up at night with back pain or stiffness that subsides after some exercise. Report as present or absent.
    Linked diagnoses: DXANK, DXPMR

[5] Ankylosing Spondylitis (relevance: 0.526)
    Clinical keywords…",5,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.6732}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.6272}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.5547}, {""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.536}, {""label"": ""Ankylosing Spondylitis"", ""score"": 0.526}]"
gen-002,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Psoriatic Arthritis (relevance: 0.531)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …

[2] Rheumatoid Arthritis (relevance: 0.514)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[3] Primary Raynaud's (relevance: 0.511)

[4] DIP joints: arthralgia with or without swelling (relevance: 0.499)
    Body system: Joint or joint related complaint
    Linked diagnoses: DXPSO

[5] Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis) (relevance: 0.489)
    Body system: Joint or joint related complaint
    Linked diagnoses: DXPSO",5,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.5312}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.5139}, {""label"": ""Primary Raynaud's"", ""score"": 0.5109}, {""label"": ""DIP joints: arthralgia with or without swelling"", ""score"": 0.4988}, {""label"": ""Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)"", ""score"": 0.489}]"
gen-003,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Rheumatoid Arthritis (relevance: 0.636)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[2] Polymyalgia Rheumatica (relevance: 0.585)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion
  - Morning st…

[3] Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis) (relevance: 0.550)
    Body system: Joint or joint related complaint
    Linked diagnoses: DXPSO

[4] MCP joints : arthralgia with or without swelling (relevance: 0.542)
    Body system: Joint or joint related complaint
    Linked diagnoses: DXRA

[5] Psoriatic Arthritis (relevance: 0.540)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …",5,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6358}, {""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5845}, {""label"": ""Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)"", ""score"": 0.5498}, {""label"": ""MCP joints : arthralgia with or without swelling"", ""score"": 0.5422}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.5404}]"
gen-004,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Psoriatic Arthritis (relevance: 0.577)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …

[2] Lyme arthritis (relevance: 0.554)
    Body system: Present or past infectious disease
    Diagnostic relevance: Lyme arthritis can sometimes be confused with rheumatic fever or with pauciarticular juvenile rheumatoid arthritis, and thus must be excluded when diagnosing the two latter diseases.
    Assessment: Lyme arthritis is typically brief (one week) but recurrent. The large joints are usually involved, particularly the knee. When the knee is involved it is usually more swollen than painful. As noted, t…
    Linked diagnoses: DXRA

[3] Rheumatoid Arthritis (relevance: 0.546)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[4] Raynaud's phenomenon (by history or observed) (relevance: 0.515)
    Body system: Joint or joint related complaint
    Diagnostic relevance: Raynaud's phenomenon may occur in mixed connective tissue disease, systemic lupus erythematosus, progressive systemic sclerosis, poly- myositis/dermatomyositis, and rheumatoid arthritis associated with Sjogren's syndrome.
    Assessment: In Raynaud's phenomenon there are three classic color changes of the fingers or toes. First, vasoconstriction results in a white blanching of the fingertips. Second, vasodilatation with sludging of va…
    Linked diagnoses: DXRA, DXSLE

[5] Chronic uveitis or iridocyclitis (relevance: 0.510)
    Body system: …",5,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.5768}, {""label"": ""Lyme arthritis"", ""score"": 0.5544}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.5457}, {""label"": ""Raynaud's phenomenon (by history or observed)"", ""score"": 0.5146}, {""label"": ""Chronic uveitis or iridocyclitis"", ""score"": 0.5099}]"
gen-005,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Polymyalgia Rheumatica (relevance: 0.538)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion
  - Morning st…

[2] Rheumatoid Arthritis (relevance: 0.532)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[3] Hemochromatosis (relevance: 0.513)
    Body system: Concomitant or past diseases, Rheumatic illness with extraarticular and/or constitutional features (fever, rash, pleurisy,etc) OR Systemic illness with rheumatic manifestation
    Diagnostic relevance: Hemochromatosis is an autosomal recessive disease that produces an arthritis similar to osteoarthritis or pseudogout.
    Assessment: Hemochromatosis is diagnosed by the typical physical and radiographic findings supported by elevated serum iron concentrations and high transferrin saturations. Serum ferritin is also markedly elevate…
    Linked diagnoses: DXGT, DXRA

[4] Raynaud's phenomenon (by history or observed) (relevance: 0.499)
    Body system: Joint or joint related complaint
    Diagnostic relevance: Raynaud's phenomenon may occur in mixed connective tissue disease, systemic lupus erythematosus, progressive systemic sclerosis, poly- myositis/dermatomyositis, and rheumatoid arthritis associated with Sjogren's syndrome.
    Assessment: In Raynaud's phenomenon there are three classic color changes of the fingers or toes. First, vasoconstriction results in a white blanching of the …",5,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5376}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.5321}, {""label"": ""Hemochromatosis"", ""score"": 0.5134}, {""label"": ""Raynaud's phenomenon (by history or observed)"", ""score"": 0.4989}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.4844}]"
gen-006,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Raynaud's phenomenon (by history or observed) (relevance: 0.565)
    Body system: Joint or joint related complaint
    Diagnostic relevance: Raynaud's phenomenon may occur in mixed connective tissue disease, systemic lupus erythematosus, progressive systemic sclerosis, poly- myositis/dermatomyositis, and rheumatoid arthritis associated with Sjogren's syndrome.
    Assessment: In Raynaud's phenomenon there are three classic color changes of the fingers or toes. First, vasoconstriction results in a white blanching of the fingertips. Second, vasodilatation with sludging of va…
    Linked diagnoses: DXRA, DXSLE

[2] Rheumatoid Arthritis (relevance: 0.532)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[3] Chronic uveitis or iridocyclitis (relevance: 0.484)
    Body system: Eyes and vision
    Diagnostic relevance: Iridocyclitis may be one of the signs of juvenile rheumatoid arthritis (especially of pauciarticular onset), ankylosing spondylitis, Reiter's syndrome, or sarcoidosis.
    Assessment: Iridocyclitis may be asymptomatic or symptomatic. In the asymptomatic form, which is usually seen in juvenile rheumatoid arthritis, the onset is insidious and the physical findings minimal initially. …
    Linked diagnoses: DXANK, DXRA

[4] Psoriatic Arthritis (relevance: 0.484)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …

[5] Primary Raynaud's (relevance: 0.470)",5,"[{""label"": ""Raynaud's phenomenon (by history or observed)"", ""score"": 0.5649}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.5323}, {""label"": ""Chronic uveitis or iridocyclitis"", ""score"": 0.4841}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.484}, {""label"": ""Primary Raynaud's"", ""score"": 0.4705}]"
gen-007,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Polymyalgia Rheumatica (relevance: 0.523)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion
  - Morning st…

[2] Hyperparathyroidism (relevance: 0.462)
    Body system: Concomitant or past diseases, Rheumatic illness with extraarticular and/or constitutional features (fever, rash, pleurisy,etc) OR Systemic illness with rheumatic manifestation
    Diagnostic relevance: Several rheumatological disorders are associated with hyperpara- thyroidism. First, hyperuricemia and gouty arthritis (which may mimic hyperparathyroidism with renal stone formation and colic) have an increased incidence in patients with hyperparathyroidism. Second, patients with primary hyperparathyroidism show an increased incidence of chondrocalcinosis with episodes of calcium pyrophosphate cry…
    Linked diagnoses: DXGT, DXRA

[3] Rheumatoid Arthritis (relevance: 0.458)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[4] Psoriatic Arthritis (relevance: 0.457)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  …",5,"[{""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5229}, {""label"": ""Hyperparathyroidism"", ""score"": 0.462}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.4582}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.4568}, {""label"": ""Hemochromatosis"", ""score"": 0.4382}]"
gen-008,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Gout (relevance: 0.552)
    Clinical keywords: gout monosodium urate crystals MTP podagra hyperuricemia negatively birefringent acute monoarthritis
    Associated findings by system: (13):
  - Chondrocalcinosis present
  - Family history of gout
  - Gouty tophus or erosion, not proven by biopsy or needle aspiration
  - Hemochromatosis
  - Hyperparathyroidism
  - MTP 1 joints: Arthralgia present
  - MTP 1 joints: synovial swelling
  - MTP 2-5 joints: Arthralgia present
  - MTP 2-5 joints: synovial swelling
  - Serum uric acid (normal 1.5 to 8.0 mg/dl)
  - Serum uric acid, high…

[2] Polymyalgia Rheumatica (relevance: 0.531)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion
  - Morning st…

[3] Hyperparathyroidism (relevance: 0.507)
    Body system: Concomitant or past diseases, Rheumatic illness with extraarticular and/or constitutional features (fever, rash, pleurisy,etc) OR Systemic illness with rheumatic manifestation
    Diagnostic relevance: Several rheumatological disorders are associated with hyperpara- thyroidism. First, hyperuricemia and gouty arthritis (which may mimic hyperparathyroidism with renal stone formation and colic) have an increased incidence in patients with hyperparathyroidism. Second, patients with primary hyperparathyroidism show an increased incidence of chondrocalcinosis with episodes of calcium pyrophosphate cry…
    Linked diagnoses: DXGT, DXRA

[4] Psoriatic Arthritis (relevance: 0.437)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sa…",5,"[{""label"": ""Gout"", ""score"": 0.5518}, {""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5306}, {""label"": ""Hyperparathyroidism"", ""score"": 0.5071}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.4374}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.4327}]"
gen-009,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Gout (relevance: 0.559)
    Clinical keywords: gout monosodium urate crystals MTP podagra hyperuricemia negatively birefringent acute monoarthritis
    Associated findings by system: (13):
  - Chondrocalcinosis present
  - Family history of gout
  - Gouty tophus or erosion, not proven by biopsy or needle aspiration
  - Hemochromatosis
  - Hyperparathyroidism
  - MTP 1 joints: Arthralgia present
  - MTP 1 joints: synovial swelling
  - MTP 2-5 joints: Arthralgia present
  - MTP 2-5 joints: synovial swelling
  - Serum uric acid (normal 1.5 to 8.0 mg/dl)
  - Serum uric acid, high…

[2] Polymyalgia Rheumatica (relevance: 0.551)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion
  - Morning st…

[3] Psoriatic Arthritis (relevance: 0.542)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …

[4] Rheumatoid Arthritis (relevance: 0.522)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1…",5,"[{""label"": ""Gout"", ""score"": 0.5589}, {""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5511}, {""label"": ""Psoriatic Arthritis"", ""score"": 0.5416}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.5222}, {""label"": ""Hyperparathyroidism"", ""score"": 0.522}]"
gen-010,minilm,all-MiniLM-L6-v2,"RELEVANT ONTOLOGY KNOWLEDGE:

[1] Psoriatic Arthritis (relevance: 0.698)
    Clinical keywords: psoriatic arthritis psoriasis DIP dactylitis nail pitting sausage digit asymmetric oligoarthritis enthesitis
    Associated findings by system: (13):
  - DIP joints: arthralgia with or without swelling
  - DIP joints: bony joint enlargement, Heberden's nodes
  - DIP joints: synovial soft tissue swelling
  - Extra-articular swelling of hands or fingers (i.e., sausage finger or dactylitis)
  - Juxta-articular swelling (sausage toe)
  - Nail pitting
  - Pain or paresthesias, median nerve distribution
  - Pain with palpation and/or swelling …

[2] Rheumatoid Arthritis (relevance: 0.592)
    Clinical keywords: rheumatoid arthritis symmetric polyarthritis RF anti-CCP morning stiffness erosions MCP PIP wrist synovitis pannus
    Associated findings by system: (21):
  - Articular erosion(s) present
  - Chronic uveitis or iridocyclitis
  - Family history of rheumatoid arthritis
  - Growth retardation
  - Hemochromatosis
  - Hyperparathyroidism
  - Kerato conjunctivitis sicca
  - Lyme arthritis
  - MCP joints : arthralgia with or without swelling
  - MCP joints: synovial soft tissue swelling
  - RA factor, titer 1: (positive is greater than 1:80)
  - Ray…

[3] Raynaud's phenomenon (by history or observed) (relevance: 0.560)
    Body system: Joint or joint related complaint
    Diagnostic relevance: Raynaud's phenomenon may occur in mixed connective tissue disease, systemic lupus erythematosus, progressive systemic sclerosis, poly- myositis/dermatomyositis, and rheumatoid arthritis associated with Sjogren's syndrome.
    Assessment: In Raynaud's phenomenon there are three classic color changes of the fingers or toes. First, vasoconstriction results in a white blanching of the fingertips. Second, vasodilatation with sludging of va…
    Linked diagnoses: DXRA, DXSLE

[4] Polymyalgia Rheumatica (relevance: 0.554)
    Clinical keywords: polymyalgia rheumatica proximal stiffness shoulder girdle hip girdle ESR elevated CRP steroid responsive prednisone 15mg elderly bilateral aching morning stiffness temporal arteritis GCA
    Associated findings by system: (13):
  - Arterial biopsy, eosinophilic granulomatous vasculitis
  - Arterial biopsy, giant cell arteritis
  - Arterial biopsy, necrotizing vasculitis
  - Arterial biopsy, vasculitis
  - Cranial arteritis, clinical finding only
  - Favorable response to treatment
  - Giant cell arteritis
  - Lumbar spine pain and/or morning s…",5,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.6984}, {""label"": ""Rheumatoid Arthritis"", ""score"": 0.5919}, {""label"": ""Raynaud's phenomenon (by history or observed)"", ""score"": 0.5601}, {""label"": ""Polymyalgia Rheumatica"", ""score"": 0.5536}, {""label"": ""Gout"", ""score"": 0.5525}]"
